category,sample,p-value test,country,year,coef,std.error,t-stat,p-value,Signif.
Cement production,EU15 ,0.05,Austria,2007,0.236526,0.035176,6.7241,8.10E-11,***
Cement production,,0.01,Austria,2007,0.277971,0.043528,6.3861,5.80E-10,***
Cement production,EU31 ,0.05,Austria,2006,0.2853366,0.0433123,6.5879,8.97E-11,***
Glass Production,EU15 ,0.05,Austria,2009,0.413368,0.063673,6.4921,3.41E-10,***
Glass Production,,0.01,Austria,2009,0.357589,0.071524,4.9995,9.66E-07,***
Glass Production,EU31 ,0.05,Austria,2007,0.323975,0.059692,5.4274,7.89E-08,***
Glass Production,,0.01,Austria,2007,0.308736,0.069286,4.456,9.70E-06,***
Incineration and Open Burning of Waste,EU15 ,0.05,Austria,2009,-1.430338,0.103295,-13.8471,2.20E-16,***
Incineration and Open Burning of Waste,,0.01,Austria,2009,-1.549998,0.111546,-13.8957,2.20E-16,***
Incineration and Open Burning of Waste,,0.001,Austria,2009,-1.646822,0.14108,-11.673,2.20E-16,***
Incineration and Open Burning of Waste,EU31 ,0.05,Austria,2009,-1.390561,0.1086211,-12.8019,2.20E-16,***
Incineration and Open Burning of Waste,,0.01,Austria,2009,-1.494903,0.131202,-11.3939,2.20E-16,***
Incineration and Open Burning of Waste,,0.001,Austria,2009,-1.536252,0.147548,-10.4119,2.20E-16,***
Lime production,EU15 ,0.05,Austria,2001,0.59655,0.052641,11.3325,2.20E-16,***
Lime production,,0.05,Austria,2006,-0.62774,0.093889,-6.686,1.37E-10,***
Lime production,,0.05,Austria,2009,0.307916,0.089315,3.4475,0.0006585,***
Lime production,,0.01,Austria,2001,0.595214,0.056071,10.6154,2.20E-16,***
Lime production,,0.01,Austria,2006,-0.821937,0.066776,-12.3089,2.20E-16,***
Lime production,,0.01,Austria,2009,0.486281,0.05934,8.1948,8.68E-15,***
Lime production,,0.001,Austria,2001,0.601726,0.066224,9.0862,2.20E-16,***
Lime production,,0.001,Austria,2006,-0.81506,0.079404,-10.2648,2.20E-16,***
Lime production,,0.001,Austria,2009,0.496469,0.0703,7.0621,1.23E-11,***
Liming,EU15 ,0.05,Austria,2008,0.670857,0.066758,10.0491,2.20E-16,***
Liming,,0.01,Austria,2008,0.699413,0.071829,9.7372,2.20E-16,***
Liming,,0.001,Austria,2008,0.698959,0.076394,9.1494,2.20E-16,***
Liming,EU31 ,0.05,Austria,2006,0.743508,0.082585,9.0029,2.20E-16,***
Liming,,0.01,Austria,2006,0.719312,0.093851,7.6644,6.01E-14,***
Liming,,0.001,Austria,2006,0.822334,0.10404,7.904,1.04E-14,***
Main Activity Electricity and Heat Production,EU15 ,0.05,Austria,2017,0.254564,0.04948,5.1448,4.67E-07,***
Main Activity Electricity and Heat Production,,0.01,Austria,2017,0.263082,0.054992,4.7841,2.58E-06,***
Main Activity Electricity and Heat Production,EU31 ,0.05,Austria,2017,0.228532,0.047999,4.7612,2.33E-06,***
Manufacturing Industries and Construction,EU15 ,0.05,Austria,2009,0.245903,0.0292098,8.4185,1.20E-15,***
Manufacturing Industries and Construction,,0.01,Austria,2009,0.365288,0.0282074,12.9501,2.20E-16,***
Manufacturing Industries and Construction,,0.001,Austria,2003,0.203962,0.037812,5.3941,1.27E-07,***
Manufacturing Industries and Construction,,0.001,Austria,2009,0.263102,0.034738,7.574,3.22E-13,***
Manufacturing Industries and Construction,EU31 ,0.05,Austria,2009,0.364448,0.034155,10.6703,2.20E-16,***
Manufacturing Industries and Construction,,0.01,Austria,2009,0.354387,0.037373,9.4824,2.20E-16,***
Manufacturing Industries and Construction,,0.001,Austria,2009,0.352749,0.050215,7.0248,4.90E-12,***
Metal Industry,EU15 ,0.05,Austria,2002,0.324199,0.051673,6.2741,1.12E-09,***
Metal Industry,,0.05,Austria,2010,0.330264,0.045966,7.185,4.60E-12,***
Metal Industry,,0.01,Austria,2002,0.533418,0.053708,9.9318,2.20E-16,***
Metal Industry,,0.001,Austria,2002,0.553453,0.05561,9.9524,2.20E-16,***
Metal Industry,EU31 ,0.05,Austria,2002,0.54078,0.077535,6.9747,7.72E-12,***
Metal Industry,,0.01,Austria,2002,0.528863,0.082139,6.4387,2.35E-10,***
Non-Energy Products from Fuels and Solvent Use,EU15 ,0.05,Austria,2000,0.1162877,0.0251053,4.632,5.33E-06,***
Non-Energy Products from Fuels and Solvent Use,EU31 ,0.05,Austria,2000,0.1269168,0.0286357,4.4321,1.09E-05,***
Other Process Uses of Carbonates,EU15 ,0.05,Austria,2015,0.420556,0.062031,6.7797,6.63E-11,***
Other Process Uses of Carbonates,EU31 ,0.05,Austria,2010,0.425894,0.07127,5.9758,3.73E-09,***
Petroleum Refining - Manufacture of Solid Fuels and Other Energy Industries,EU15 ,0.05,Austria,2015,-0.19413,0.038131,-5.0911,6.49E-07,***
Railways,EU15 ,0.05,Austria,2004,0.359235,0.050759,7.0772,8.97E-12,***
Railways,,0.01,Austria,2004,0.34036,0.053839,6.3218,8.33E-10,***
